timestamp,visible,in_flight
2026-07-02T12:58:31Z,0,0
2026-07-02T12:58:33Z,0,0
2026-07-02T12:58:35Z,0,0
2026-07-02T12:58:36Z,0,0
2026-07-02T12:58:38Z,0,0
2026-07-02T12:58:40Z,0,0
2026-07-02T12:58:41Z,0,0
2026-07-02T12:58:43Z,0,0
2026-07-02T12:58:45Z,0,0
2026-07-02T12:58:46Z,0,0
2026-07-02T12:58:48Z,0,0
2026-07-02T12:58:50Z,0,0
2026-07-02T12:58:51Z,0,0
2026-07-02T12:58:53Z,0,0
2026-07-02T12:58:55Z,0,0
2026-07-02T12:58:56Z,0,0
2026-07-02T12:58:58Z,0,0
2026-07-02T12:59:00Z,0,0
2026-07-02T12:59:01Z,0,0
2026-07-02T12:59:03Z,0,0
2026-07-02T12:59:05Z,0,0
2026-07-02T12:59:07Z,0,0
2026-07-02T12:59:08Z,0,0
2026-07-02T12:59:10Z,612,205
2026-07-02T12:59:12Z,439,205
2026-07-02T12:59:13Z,769,215
2026-07-02T12:59:15Z,0,0
2026-07-02T12:59:17Z,1,1718
2026-07-02T12:59:18Z,612,205
2026-07-02T12:59:20Z,272,205
2026-07-02T12:59:22Z,0,1655
2026-07-02T12:59:23Z,0,1804
2026-07-02T12:59:25Z,0,2194
2026-07-02T12:59:27Z,0,2145
2026-07-02T12:59:29Z,0,1976
2026-07-02T12:59:30Z,1,1718
2026-07-02T12:59:32Z,0,2194
2026-07-02T12:59:34Z,267,1222
2026-07-02T12:59:36Z,0,1512
2026-07-02T12:59:37Z,0,1734
2026-07-02T12:59:39Z,0,1570
2026-07-02T12:59:41Z,115,1212
2026-07-02T12:59:43Z,0,1512
2026-07-02T12:59:45Z,0,1362
2026-07-02T12:59:47Z,0,1485
2026-07-02T12:59:48Z,0,1448
2026-07-02T12:59:50Z,0,1715
2026-07-02T12:59:52Z,0,1319
2026-07-02T12:59:53Z,0,1570
2026-07-02T12:59:55Z,0,1363
2026-07-02T12:59:57Z,0,1319
2026-07-02T13:00:00Z,0,1419
2026-07-02T13:00:02Z,0,1292
2026-07-02T13:00:04Z,0,1363
2026-07-02T13:00:06Z,0,1302
2026-07-02T13:00:07Z,0,1452
2026-07-02T13:00:09Z,0,1275
2026-07-02T13:00:11Z,0,1452
2026-07-02T13:00:12Z,0,1404
2026-07-02T13:00:14Z,0,1461
2026-07-02T13:00:16Z,0,1411
2026-07-02T13:00:17Z,0,1409
2026-07-02T13:00:19Z,0,1354
2026-07-02T13:00:21Z,0,1467
2026-07-02T13:00:22Z,0,1377
2026-07-02T13:00:24Z,0,1395
2026-07-02T13:00:25Z,0,1409
2026-07-02T13:00:27Z,0,1395
2026-07-02T13:00:29Z,0,1467
2026-07-02T13:00:30Z,0,1452
2026-07-02T13:00:32Z,0,1395
2026-07-02T13:00:34Z,0,1409
2026-07-02T13:00:35Z,0,1187
2026-07-02T13:00:37Z,0,1187
2026-07-02T13:00:39Z,0,1262
2026-07-02T13:00:40Z,0,1345
2026-07-02T13:00:42Z,0,1187
2026-07-02T13:00:44Z,0,1257
2026-07-02T13:00:45Z,0,1261
2026-07-02T13:00:47Z,0,1404
2026-07-02T13:00:49Z,0,1322
2026-07-02T13:00:50Z,0,1450
2026-07-02T13:00:52Z,0,1428
2026-07-02T13:00:54Z,0,1317
2026-07-02T13:00:55Z,0,1424
2026-07-02T13:00:57Z,0,1303
2026-07-02T13:00:59Z,0,1424
2026-07-02T13:01:01Z,0,1428
2026-07-02T13:01:02Z,0,1428
2026-07-02T13:01:04Z,0,1303
2026-07-02T13:01:06Z,0,1125
2026-07-02T13:01:07Z,0,625
2026-07-02T13:01:09Z,0,625
2026-07-02T13:01:11Z,0,625
2026-07-02T13:01:12Z,0,1281
2026-07-02T13:01:14Z,0,135
2026-07-02T13:01:16Z,0,1373
2026-07-02T13:01:17Z,0,522
2026-07-02T13:01:19Z,0,625
2026-07-02T13:01:21Z,0,135
2026-07-02T13:01:22Z,0,1449
2026-07-02T13:01:24Z,0,25
2026-07-02T13:01:26Z,0,936
2026-07-02T13:01:27Z,0,522
2026-07-02T13:01:29Z,0,1025
2026-07-02T13:01:31Z,307,3074
2026-07-02T13:01:32Z,1892,3554
2026-07-02T13:01:35Z,978,3154
2026-07-02T13:01:38Z,1384,3954
2026-07-02T13:01:40Z,1916,3494
2026-07-02T13:01:41Z,928,3984
2026-07-02T13:01:44Z,2374,3674
2026-07-02T13:01:46Z,0,1904
2026-07-02T13:01:47Z,3820,3125
2026-07-02T13:01:49Z,3820,3125
2026-07-02T13:01:51Z,1916,3494
2026-07-02T13:01:52Z,3657,3065
2026-07-02T13:01:55Z,2720,3055
2026-07-02T13:01:57Z,3857,2765
2026-07-02T13:01:58Z,4273,2815
2026-07-02T13:02:00Z,3593,3315
2026-07-02T13:02:02Z,3820,3125
2026-07-02T13:02:03Z,2197,2925
2026-07-02T13:02:05Z,4342,2475
2026-07-02T13:02:07Z,2747,2875
2026-07-02T13:02:08Z,611,3811
2026-07-02T13:02:10Z,611,3811
2026-07-02T13:02:12Z,2057,2465
2026-07-02T13:02:15Z,0,2822
2026-07-02T13:02:16Z,1892,3554
2026-07-02T13:02:18Z,0,900
2026-07-02T13:02:20Z,0,900
2026-07-02T13:02:22Z,0,800
2026-07-02T13:02:24Z,0,1900
2026-07-02T13:02:25Z,0,800
